review ID,review name,reviewer's name,reviewer's profile,review rating,review text,verified purchase,vine customer review of free product,images,image 1,image 2,image 3
R3R9PW76HKH893," Excelente camara!!",Luisa,https://www.amazon.com.mx/gp/profile/amzn1.account.AGCNIN72GYIRFMNKARUZARHG55DA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"Excelente cámara! Ganadora del premio al mejor producto en 2018. Estas fotos se tomaron con el lente genérico que venía incluido, lo que muestra el gran potencial que tiene.",true,false,"https://images-na.ssl-images-amazon.com/images/I/61Mb6cNdoiL.jpg
https://images-na.ssl-images-amazon.com/images/I/81Ic8EbdRBL.jpg
https://images-na.ssl-images-amazon.com/images/I/81OIQHW8RlL.jpg",https://images-na.ssl-images-amazon.com/images/I/61Mb6cNdoiL.jpg,https://images-na.ssl-images-amazon.com/images/I/81Ic8EbdRBL.jpg,https://images-na.ssl-images-amazon.com/images/I/81OIQHW8RlL.jpg
R2OAUPE3QF4D0Q," Excelente Camara! Yo creo que la mejor hoy en dia.",Ross Rdz,https://www.amazon.com.mx/gp/profile/amzn1.account.AFUHROMUPOATUQVVO5KAENS3DRIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"Toma unas fotografías muy buenas utilizando la lente 85mm f/1.8, o 24-105mm f/4. La sensibilidad a la luz es excelente mucho mejor que cualquier otra DSLR que he tenido.

La duracion de la bateria es muy buena para ser una camara MirrorLess y la recomiendo a toda aquella persona que es amante de Canon o Nikon.",true,false,,,,
R1XUBB9UHYEWDU," Sony A7III, de las mejores cámaras mirrorless tipo ""full frame"" de nivel profesional",Víctor,https://www.amazon.com.mx/gp/profile/amzn1.account.AHEIZD7KDBR3B5YJJ4XRQO5VM7YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"Recién estrenada el año pasado y galardonada por muchas publicaciones y sitios web especializados en fotografía como la ""mejor cámara mirrorless de sensor fullframe del año 2018"", la Sony Alpha de la serie 7 Mark III (A7MIII) se logrado colocar como la favorita de muchos aficionados avanzados y fotógrafos profesionales en el mundo, por la cantidad de funciones y mejoras que tiene en comparación a las dos primeras generaciones de la serie Alpha 7. Esta cámara posee algunas de las características de la serie de gama premium Alpha 9, entre ellas el mismo procesador, siendo una de las novedades más importantes de la Alpha 7MIII la actualización del procesador Bionz de Sony, que logra conseguir una mejora en el procesamiento de las imágenes, brindando colores más ricos, ISO de mayor alcance consuiguiendo mejores fotografías en lugares con poca iluminación o de noche, y con la última actualización de firmware (a diferencia de las dos generaciones anteriores), el reconocimiento de los ojos de sujetos y animales con seguimiento en tiempo real.
Otra mejora en esta cámara tomada también de la serie Alpha 9, es el aumento de la capacidad y mejor rendimiento de la bateria, logrando hasta casi 700 disparos.

Tanto en fotografía y video, también sobresale la velocidad del autoenfoque y la capacidad del HDR, logrando un mayor contraste y detalle en cada toma.
En cuánto a ergonomía, la cámara tiene un mejor agarre, sujetándose con mucha facilidad y comodidad.

A diferencia de las cámaras de la serie Alpha 6000 de nivel de entrada en donde el sensor de imagen está recortado (""ASP-C""), los lentes de la Sony A7III son más costosos, por lo que recomiendo buscar de otras marcas que puedan ser compatibles con el tipo de sensor
""full frame"" ó en su caso comprar el adaptador para los lentes.

La cámara Sony A7MIII es una buena inversión si realmente se cuenta con un nivel más avanzado en fotografía y/o se busca obtener resultados a nivel profesional, con el que se puedan aprovechar todas las funciones que tiene; de lo contrario mejor cambia a las cámaras de la serie Alpha 6000 (como el modelo reciente que recomiendo A6400), las cuáles son más fáciles de usar, tienen menor tamaño, y también dan resultados de alta calidad.",true,false,"https://images-na.ssl-images-amazon.com/images/I/716AMm5MjxL.jpg
https://images-na.ssl-images-amazon.com/images/I/71Zyol+sgdL.jpg
https://images-na.ssl-images-amazon.com/images/I/71ikoXNWfVL.jpg
https://images-na.ssl-images-amazon.com/images/I/81JkOvUUHEL.jpg
https://images-na.ssl-images-amazon.com/images/I/81fjWA5ehcL.jpg",https://images-na.ssl-images-amazon.com/images/I/716AMm5MjxL.jpg,https://images-na.ssl-images-amazon.com/images/I/71Zyol+sgdL.jpg,https://images-na.ssl-images-amazon.com/images/I/71ikoXNWfVL.jpg
R1BHPF1MUJFT3," Lo mejor",Alexis García,https://www.amazon.com.mx/gp/profile/amzn1.account.AFVXRSNH4X2BXMLAR2AUGA4SIGIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"Acabo de cumplir 1 año con la cámara y mi primer impresión fue ""que pequeña es"". Estaba acostumbrado a los cuerpos grandes de cámaras que usaba como la Canon 6D. Después de este año, no podría estar más feliz con la compra que hice, esta cámara es tan versátil, es muy buena tanto en foto como en video. Recomiendo comprarla en Buen Fin, Black Friday o Cyber Monday que es al precio que yo la compré y la verdad es un gran descuento que no encuentras en otras tiendas. Las primeras fotos son las que he tomado con la cámara, algunas con luz natural otras con flash.",true,false,"https://images-na.ssl-images-amazon.com/images/I/71c3YDx9uhL.jpg
https://images-na.ssl-images-amazon.com/images/I/71z+JYIINeL.jpg
https://images-na.ssl-images-amazon.com/images/I/8123zQJKdsL.jpg
https://images-na.ssl-images-amazon.com/images/I/8130Pq8l5CL.jpg
https://images-na.ssl-images-amazon.com/images/I/81G9cD03ktL.jpg
https://images-na.ssl-images-amazon.com/images/I/81KIA1EmrDL.jpg
https://images-na.ssl-images-amazon.com/images/I/81LvmwKS4eL.jpg
https://images-na.ssl-images-amazon.com/images/I/81MPzjPc6PL.jpg
https://images-na.ssl-images-amazon.com/images/I/81qKx5UCAiL.jpg
https://images-na.ssl-images-amazon.com/images/I/81tydJGWgwL.jpg
https://images-na.ssl-images-amazon.com/images/I/81uM7NC+VIL.jpg
https://images-na.ssl-images-amazon.com/images/I/81zaAcY5voL.jpg
https://images-na.ssl-images-amazon.com/images/I/91E-GRGPyqL.jpg",https://images-na.ssl-images-amazon.com/images/I/71c3YDx9uhL.jpg,https://images-na.ssl-images-amazon.com/images/I/71z+JYIINeL.jpg,https://images-na.ssl-images-amazon.com/images/I/8123zQJKdsL.jpg
RIWPZ1Q5N5Q0I," Gran Cámara para video (grandes prestaciones)",Leslie Cruz,https://www.amazon.com.mx/gp/profile/amzn1.account.AGSHAOM3QBRDZ7MASMEJYIWUECHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"Pues la cámara es todo lo que te dicen, tiene un gran sensor, graba en 4K, la estabilidad no la he probado pues suelo trabajar más en tripié, tiene salida de audífonos para monitorear el audio, tiene un gran enfoque, dos slots para memoria.

¿Qué puntos no me encantan?

- Bueno, la pantalla no es touch, solo para el enfoque.
- NO INCLUYE CARGADOR. Debes cargar tu batería con la cámara conectada a la corriente
- La pantalla puede levantarse pero no cerrarse

Pa' pronto...

cómprate tu cargador Neewer, un buen estuche y una mica para la pantalla para que no se te raye.",true,false,,,,
R325CTND42QD8F," Buena oferta del HOTSALE",Rubén Hernández flores,https://www.amazon.com.mx/gp/profile/amzn1.account.AHWELUXSK5JCMSE5H5KWX3KIO7YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"Excelente producto, caja 100 sellada de origen y todo funcionando super bien. excedio mis expectativas sobre todo la toma de fotos de noche sin flash no tiene comparacion, ante usaba una Nikon D5000 super buen producto pero contra esta no hay comparacion, vale lo que se pago por ella.",true,false,,,,
R1BGB86Y5LGV99," Excelente equipo",Arturo Vázquez Capistrán,https://www.amazon.com.mx/gp/profile/amzn1.account.AHGMEDMNVF3422MDMKDWMU4IUMJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"Para mi que no soy fotógrafo profesional, se me hizo un excelente te equipo, la conseguí con un descuento y a meses sin intereses.
Me encanta la duración de la batería que es bastante y la calidad de la imagen que para el uso que le doy, es suficientemente buena!",true,false,https://images-na.ssl-images-amazon.com/images/I/91sdA9ioR6L.jpg,https://images-na.ssl-images-amazon.com/images/I/91sdA9ioR6L.jpg,,
R3891KTO4BLKFE," Muy buena compra",Ochoarti,https://www.amazon.com.mx/gp/profile/amzn1.account.AEJ3RGN23WG4S2VQ3C6LAENJQAXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"Todo en esta cámara me gusta. Y en Amazon lo mejor fue el precio que encontré. El producto llegó bien, aunque la caja un poco dañada. No se veía problema en la cámara.",true,false,,,,
R2AVA4UWYTULMM," No se respeto meses sin intereses",Comprador,https://www.amazon.com.mx/gp/profile/amzn1.account.AESKDDULNO5J2IUQBINPX6CWNWOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,"Problemas con los meses sin intereses que promete Amazon.
La compre estando una promoción a 24 msi con Banamex y vaya sorpresa me lleve cuando el banco no estaba ""notificado"" por lo cual se hizo el cargo inmediato a mi fecha de corte.
Pésima experiencia de compra.
Cabe destacar que yo recibí correos de Amazon confirmando mi compra hecha a msi. Y aún así no se respeto. Lo peor es que compre esta cámara y un estabilizador Weebill S. Y con ambos me paso lo mismo.",true,false,,,,
R1GD82E9JN1QC1," Excelente cámara",Jhovany,https://www.amazon.com.mx/gp/profile/amzn1.account.AGMWE5TSKUGQIUJS4FTZYNS5SCOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"El paquete llego antes de lo esperado y buena forma, en cuanto llego empecé a usar la cámara, la verdad todo muy bien, la cámara es excelente y todo el kit viene completo, en verdad lo recomiendo ampliamente.",true,false,,,,
